Date;Amounts due from domestic correspondents;Amounts due to the Confederation;Balances from swap transactions against CHF;Banknotes in circulation;CHF securities;Claims from CHF repo transactions;Claims from USD repo transactions;Domestic money market claims;Foreign currency investments;Foreign currency liabilities;Gold holdings and claims from gold transactions;IMF SDR counterpart;International payment instruments;Liabilities from CHF repo transactions;Loan to stabilisation fund;Monetary assistance loans;Other assets;Other liabilities;Other sight liabilities;Other time liabilities;Provisions and equity capital;Reserve position in the IMF;SNB debt certificates;Secured loans;Sight deposits of domestic banks;Sight deposits of foreign banks and institutions;Total assets;Total liabilities
2009-07-01;1,14;9.303,36;32.014,95;45.192,75;6.287,42;35.501,00;20,47;0,00;81.485,16;3.270,70;33.849,92;0,00;261,11;0,00;24.838,62;332,39;816,40;9,08;3.414,24;20,48;62.444,87;1.092,36;24.423,01;0,00;64.252,50;4.169,98;216.500,95;216.500,95
2009-08-01;-0,88;16.339,78;29.424,61;44.664,69;6.289,30;38.058,00;10,86;0,00;81.705,71;2.335,54;33.816,32;4.268,76;4.538,71;0,00;23.907,70;340,91;821,16;7,37;2.390,05;10,88;62.775,94;1.092,44;25.279,05;0,00;58.456,65;3.476,12;220.004,83;220.004,83
2009-09-01;0,50;15.590,10;12.332,87;45.141,53;6.677,83;39.480,61;0,00;0,00;82.105,19;1.567,02;34.669,81;5.360,55;5.623,17;0,00;22.368,64;339,04;888,37;223,79;2.720,85;0,00;63.400,51;1.241,94;26.128,56;0,00;42.062,52;3.532,55;205.727,99;205.727,99
2009-10-01;-3,76;10.578,98;13.646,46;45.324,19;6.516,66;33.800,00;0,00;0,00;90.061,35;1.457,82;34.640,05;5.360,55;5.616,34;0,00;21.913,97;338,33;790,25;14,06;2.072,05;0,00;62.670,74;1.241,55;36.481,34;0,00;41.726,79;2.874,69;208.561,21;208.561,21
2009-11-01;-3,51;7.171,33;10.873,61;45.919,94;6.464,11;35.816,00;0,00;0,00;95.202,84;1.457,01;34.554,42;5.360,55;5.616,34;0,00;21.540,75;337,23;790,11;20,89;3.102,33;0,00;62.950,10;1.241,55;34.787,68;0,00;48.136,71;3.526,91;212.433,46;212.433,46
2009-12-01;9,84;6.182,71;2.671,63;49.966,19;6.542,72;36.207,85;0,00;0,00;94.680,21;1.450,11;38.185,63;5.311,84;5.555,95;0,00;20.994,06;348,86;836,31;58,50;3.286,00;0,00;65.901,87;1.230,76;27.473,09;0,00;44.992,95;2.640,56;207.263,83;207.263,83
2010-01-01;-1,71;3.210,12;848,21;46.968,55;6.440,34;27.816,00;0,00;0,00;93.894,82;1.450,65;38.118,60;5.311,84;5.541,20;0,00;20.290,98;345,08;788,69;16,37;3.499,23;0,00;64.819,85;1.230,37;29.863,57;0,00;38.609,44;1.562,96;195.312,59;195.312,59
2010-02-01;-1,13;1.886,49;0,00;46.564,28;6.438,15;15.308,00;0,00;0,00;108.929,84;1.465,08;38.058,55;5.311,84;5.541,79;0,00;18.925,24;361,39;773,03;14,58;2.078,87;0,00;64.657,70;1.230,37;28.323,29;0,00;43.267,81;1.995,28;195.565,23;195.565,23
2010-03-01;0,60;7.087,52;0,00;47.909,12;6.593,99;11.194,65;0,00;0,00;125.088,59;1.481,12;39.450,11;5.292,56;5.520,08;0,00;18.696,80;360,31;788,39;80,28;3.346,42;0,00;66.484,56;1.210,57;26.465,08;0,00;48.632,40;2.125,02;208.904,09;208.904,09
2010-04-01;3,58;6.876,74;0,00;47.033,82;6.455,17;2.362,00;0,00;0,00;153.581,60;1.483,43;39.338,99;5.292,56;5.513,30;0,00;17.740,32;363,49;766,90;2.511,73;2.803,74;0,00;62.339,99;1.175,83;35.106,62;0,00;57.865,47;5.987,07;227.301,17;227.301,17
2010-05-01;-1,12;16.093,07;0,00;47.729,05;6.020,23;0,00;0,00;0,00;238.786,45;6.311,99;39.085,13;5.292,56;5.513,92;0,00;16.853,66;362,37;778,96;12,23;11.882,61;0,00;60.679,73;1.175,83;55.010,06;0,00;101.111,38;4.452,74;308.575,42;308.575,42
2010-06-01;0,00;18.369,18;0,00;47.509,34;5.635,97;0,00;0,00;0,00;226.657,74;3.282,91;45.018,01;5.257,54;5.408,20;0,00;16.893,06;355,24;835,36;271,27;10.871,39;0,00;59.327,13;1.139,38;73.286,17;0,00;77.838,98;5.929,05;301.942,95;301.942,95
2010-07-01;0,00;14.700,51;0,00;47.171,03;3.806,92;0,00;0,00;0,00;221.375,36;1.940,53;45.002,46;5.257,54;5.401,68;19.648,00;16.516,65;351,79;767,55;12,09;9.020,80;0,00;57.879,12;1.139,09;79.604,56;0,00;53.705,15;5.422,18;294.361,51;294.361,51
2010-08-01;0,00;6.825,89;0,00;46.974,92;3.447,97;811,00;0,00;0,00;219.300,41;1.368,88;45.001,98;5.257,54;5.405,36;22.060,00;16.148,32;351,79;772,43;13,37;2.442,40;0,00;58.231,95;1.139,09;116.815,70;0,00;28.269,54;4.118,16;292.378,35;292.378,35
2010-09-01;0,00;7.215,40;0,00;47.118,10;3.523,82;0,00;0,00;0,00;216.822,52;1.422,84;42.723,70;4.978,65;5.114,19;18.635,21;14.348,09;335,42;852,60;156,72;6.169,25;0,00;53.713,16;1.121,91;105.024,71;0,00;35.277,25;5.130,98;284.842,25;284.842,25
2010-10-01;0,00;6.880,35;0,00;47.167,40;3.481,93;0,00;0,00;0,00;213.725,46;1.791,96;42.717,71;4.978,65;5.114,12;20.002,00;13.985,26;334,97;762,99;10,96;5.194,08;0,00;52.117,88;1.121,58;108.943,34;0,00;29.066,44;5.090,97;281.244,03;281.244,03
2010-11-01;0,00;4.099,64;0,00;48.051,14;3.479,15;0,00;0,00;0,00;213.774,52;1.374,65;42.671,39;4.978,65;5.114,98;25.810,00;13.086,09;333,93;764,73;14,31;3.108,90;0,00;52.359,43;1.121,58;113.706,92;0,00;24.402,13;2.440,61;280.346,37;280.346,37
2010-12-01;0,00;5.347,20;0,00;51.498,00;3.497,37;0,00;0,00;0,00;203.809,64;1.068,71;43.987,90;4.736,55;4.670,34;13.182,10;11.786,08;300,35;835,51;91,98;1.839,21;0,00;42.591,32;1.067,67;107.869,65;0,00;37.950,72;3.779,42;269.954,86;269.954,86
2011-01-01;0,00;3.971,38;0,00;49.128,48;3.413,11;0,00;0,00;0,00;209.902,76;1.970,40;41.742,08;4.843,48;4.775,75;27.000,00;11.490,88;306,23;768,11;13,09;4.714,10;0,00;45.351,68;1.268,00;111.746,12;0,00;22.322,79;2.605,42;273.666,93;273.666,93
2011-02-01;0,00;2.555,50;0,00;48.575,11;3.460,67;0,00;0,00;0,00;208.326,09;322,23;43.836,86;4.801,39;4.735,08;27.000,00;10.729,84;303,57;768,39;13,08;2.555,28;0,00;46.719,89;1.256,98;115.551,81;0,00;24.160,76;1.162,43;273.417,48;273.417,48
2011-03-01;0,00;6.962,00;0,00;49.002,80;3.455,01;0,00;0,00;0,00;211.918,05;5.836,21;43.999,35;4.751,58;4.699,85;21.002,12;9.889,34;300,89;815,47;76,49;1.408,71;0,00;44.115,01;1.313,58;117.017,47;0,00;23.076,39;3.142,76;276.391,55;276.391,55
2011-04-01;0,00;6.535,31;0,00;48.995,06;3.425,11;0,05;0,00;0,00;208.396,22;6.296,36;44.500,38;4.650,80;4.591,86;26.001,00;9.147,74;294,05;743,10;2.510,60;1.610,46;0,00;37.313,31;1.306,53;112.313,71;0,00;24.041,75;2.136,68;272.405,04;272.405,04
2011-05-01;0,00;14.697,63;0,00;48.949,92;3.401,20;0,15;0,00;0,00;203.385,30;7.524,85;43.871,47;4.487,22;4.428,70;20.000,00;8.503,98;287,00;770,65;19,95;2.528,97;0,00;30.485,97;2.021,90;111.155,53;0,00;24.259,82;2.560,50;266.670,34;266.670,34
2011-06-01;0,00;10.545,92;0,00;48.939,68;3.524,92;0,00;0,00;0,00;196.848,80;851,31;42.437,70;4.382,23;4.312,37;24.915,11;7.954,41;281,48;807,72;45,78;1.837,23;0,00;28.589,57;1.970,60;106.504,94;0,00;29.576,36;1.949,84;258.137,98;258.137,98
2011-07-01;0,00;6.151,93;0,00;48.680,55;3.484,80;0,00;0,00;0,00;188.734,84;4.916,75;42.838,53;4.211,84;4.129,25;26.004,00;7.123,40;269,65;780,98;23,01;2.222,51;0,00;16.144,50;2.231,94;109.972,71;0,00;29.381,94;1.883,63;249.593,38;249.593,38
2011-08-01;0,00;8.769,68;0,00;48.747,86;3.488,04;17.550,00;0,00;0,00;280.981,99;3.405,34;48.875,21;4.283,59;4.201,76;0,00;7.147,19;274,24;784,20;15,05;31.478,04;0,00;30.273,18;2.270,06;43.806,35;0,00;191.763,55;3.030,07;365.572,69;365.572,69
2011-09-01;0,00;8.599,87;0,00;49.485,68;3.629,39;6.999,83;0,00;0,00;305.281,48;2.515,53;48.980,81;4.658,95;4.569,89;0,00;7.916,49;298,14;902,94;6.167,61;25.363,34;0,00;45.342,51;2.880,15;34.392,55;0,00;202.117,85;2.815,23;381.459,12;381.459,12
2011-10-01;0,00;5.460,56;0,00;50.523,01;3.616,88;25.000,00;0,00;0,00;261.815,38;188,45;50.164,22;4.539,23;4.452,52;0,00;7.576,75;289,87;756,34;2,21;37.570,65;0,00;47.293,90;2.781,65;26.870,23;0,00;181.381,81;2.623,55;356.453,60;356.453,60
2011-11-01;0,00;6.162,06;0,00;51.848,12;3.609,15;33.000,00;0,00;0,00;261.949,75;3.130,42;53.123,08;4.691,67;4.569,71;0,00;7.584,84;298,46;748,85;10,31;42.060,48;0,00;53.432,76;2.875,26;19.962,37;0,00;184.684,50;1.776,41;367.759,10;367.759,10
2011-12-01;0,00;5.647,54;0,00;55.728,88;3.675,11;18.467,96;370,50;0,00;257.504,17;551,64;49.379,94;4.734,61;4.621,22;0,00;7.644,91;301,37;979,63;155,15;28.447,95;366,36;53.122,53;3.134,53;14.719,46;0,00;180.720,74;1.884,47;346.079,33;346.079,33
2012-01-01;0,00;4.433,72;0,00;53.586,73;3.564,36;25.000,00;435,67;0,00;247.484,03;5,69;53.493,99;4.671,81;4.541,38;0,00;7.322,87;296,13;764,84;33,07;42.744,44;443,17;54.708,75;3.068,55;10.580,81;0,00;172.223,73;2.539,89;345.971,81;345.971,81
2012-02-01;0,00;7.254,19;0,00;53.546,71;3.592,80;25.000,00;425,41;0,00;241.236,64;2.131,92;53.442,69;4.582,54;4.455,62;0,00;6.926,31;290,48;762,40;14,57;48.603,14;443,17;51.792,87;3.008,84;7.277,28;0,00;160.612,31;2.882,50;339.141,18;339.141,18
2012-03-01;0,00;12.543,42;0,00;53.791,31;3.677,19;25.059,69;0,00;0,00;245.498,53;692,95;50.140,35;4.586,81;4.459,75;0,00;6.829,05;290,57;818,16;70,02;50.496,37;0,00;51.286,39;3.099,23;6.183,59;0,00;157.347,44;2.874,21;339.872,52;339.872,52
2012-04-01;0,00;16.319,97;0,00;53.906,45;3.595,41;19.000,00;0,00;0,00;247.218,37;847,27;50.273,72;4.628,31;4.471,93;0,00;6.666,25;288,91;768,89;28,21;49.793,79;0,00;52.220,03;3.487,69;2.869,33;0,00;151.897,21;3.260,59;335.771,16;335.771,16
2012-05-01;0,00;19.546,24;0,00;54.217,77;3.621,98;2.000,00;0,00;0,00;306.147,80;239,08;50.760,95;4.801,13;4.639,93;0,00;6.733,72;298,53;779,15;13,21;43.986,62;0,00;60.013,89;3.490,36;1.532,98;0,00;188.361,25;5.760,26;378.472,42;378.472,42
2012-06-01;0,00;13.121,96;0,00;54.733,59;3.713,38;0,00;0,00;0,00;365.055,75;5,33;50.637,90;4.745,39;4.585,98;0,00;6.409,42;295,10;894,16;148,15;53.723,13;0,00;58.503,42;3.193,04;514,99;0,00;242.629,40;6.659,33;434.784,72;434.784,72
2012-07-01;0,00;9.762,25;0,00;55.116,08;3.678,95;0,00;0,00;0,00;409.188,55;589,93;53.105,19;4.853,08;4.675,94;0,00;6.102,45;300,59;1.690,25;14,73;60.212,12;0,00;67.393,90;3.131,77;0,00;0,00;276.109,22;7.822,38;481.873,69;481.873,69
2012-08-01;0,00;9.160,92;0,00;55.257,13;3.706,98;0,00;0,00;0,00;421.573,45;756,86;52.858,29;4.787,42;4.613,56;0,00;5.699,15;296,52;794,56;9,77;64.498,85;0,00;62.369,02;3.001,82;0,00;0,00;286.970,64;8.733,72;492.544,32;492.544,32
2012-09-01;0,00;9.781,04;0,00;55.684,38;3.787,27;0,00;0,00;0,00;429.917,71;442,54;55.595,35;4.757,79;4.584,99;0,00;5.432,88;294,34;1.005,45;132,49;64.070,57;0,00;68.705,56;2.983,62;0,00;0,00;290.229,54;9.797,70;503.601,61;503.601,61
2012-10-01;0,00;9.994,46;0,00;56.351,99;3.744,61;0,00;0,00;0,00;426.769,45;1,95;53.474,60;4.736,75;4.563,96;0,00;5.044,79;288,46;913,72;19,04;63.162,68;0,00;63.321,69;2.891,39;0,00;0,00;290.496,57;9.605,85;497.690,99;497.690,99
2012-11-01;0,00;8.746,74;0,00;57.587,42;3.727,11;0,00;0,00;0,00;428.253,10;877,66;53.484,86;4.683,81;4.513,46;0,00;4.672,99;284,10;899,67;45,73;64.525,04;0,00;61.809,03;3.014,59;0,00;0,00;289.294,78;11.279,66;498.849,87;498.849,87
2012-12-01;0,00;9.008,09;0,00;61.801,38;3.757,11;0,00;0,00;0,00;432.208,90;5.018,67;50.771,51;4.613,44;4.249,16;0,00;4.377,99;279,07;985,82;193,23;66.951,09;0,00;58.075,36;2.804,17;0,00;0,00;281.814,06;11.958,43;499.433,74;499.433,74
2013-01-01;0,00;12.306,38;0,00;58.917,35;3.720,67;0,00;0,00;0,00;435.882,73;7.015,16;50.796,92;4.621,01;4.248,56;0,00;4.026,64;278,72;898,25;38,90;70.395,83;0,00;61.113,27;2.837,90;0,00;0,00;278.544,83;9.737,67;502.690,39;502.690,39
2013-02-01;0,00;4.687,69;0,00;58.678,05;3.756,41;0,00;0,00;0,00;439.066,21;9.077,57;49.510,38;4.642,05;4.303,59;0,00;3.530,75;279,99;910,82;9,16;72.899,80;0,00;60.089,36;2.871,33;0,00;0,00;282.837,07;11.308,72;504.229,48;504.229,48
2013-03-01;0,00;8.353,94;0,00;59.119,64;3.742,94;0,00;0,00;0,00;445.585,25;7.256,26;50.716,84;4.677,23;4.343,15;0,00;3.284,71;281,26;1.025,00;119,38;70.998,54;0,00;69.115,34;2.741,42;0,00;0,00;282.240,43;9.839,80;511.720,56;511.720,56
2013-04-01;0,00;9.088,01;0,00;59.306,96;3.731,27;0,00;0,00;0,00;444.254,58;8.104,74;45.744,68;4.621,67;4.333,76;0,00;2.910,78;273,68;956,07;30,64;72.326,03;0,00;60.336,44;2.673,08;0,00;0,00;279.716,10;11.347,31;504.877,90;504.877,90
2013-05-01;0,00;14.433,97;0,00;59.624,66;3.708,96;0,00;0,00;0,00;448.348,56;4.177,26;44.805,04;4.720,63;4.429,27;0,00;2.134,04;273,01;961,21;18,08;70.485,59;0,00;67.056,72;2.483,70;0,00;0,00;276.625,81;10.001,06;507.143,78;507.143,78
2013-06-01;0,00;15.352,16;0,00;59.863,26;3.658,08;0,00;0,00;0,00;438.177,45;3.418,95;37.617,61;4.666,05;4.378,02;0,00;1.153,34;269,15;1.050,98;140,78;26.729,41;0,00;49.507,78;2.562,97;0,00;0,00;321.115,99;8.073,20;488.867,60;488.867,60
2013-07-01;0,00;11.015,04;0,00;60.052,76;3.667,86;0,00;0,00;0,00;444.348,94;10.035,38;41.016,32;4.643,69;4.391,14;0,00;612,79;266,98;956,16;303,02;28.729,56;0,00;52.104,18;2.515,60;0,00;0,00;320.437,69;10.454,46;497.775,79;497.775,79
2013-08-01;0,00;10.925,88;0,00;59.689,24;3.641,59;0,00;0,00;0,00;443.418,70;9.255,49;43.439,09;4.639,09;4.387,14;0,00;0,00;266,72;956,36;67,74;28.326,09;0,00;54.197,81;2.375,99;0,00;0,00;318.533,94;12.850,32;498.485,60;498.485,60
2013-09-01;0,00;11.782,99;0,00;59.810,43;3.713,52;0,00;0,00;0,00;443.070,61;10.096,20;40.108,04;4.561,49;4.313,73;0,00;0,00;261,39;1.036,08;101,41;28.289,54;0,00;50.185,38;2.402,32;0,00;0,00;317.757,58;12.320,67;494.905,70;494.905,70
2013-10-01;0,00;11.333,03;0,00;60.160,39;3.667,31;0,00;0,00;0,00;446.798,25;12.076,23;40.164,35;4.581,88;4.361,49;0,00;0,00;258,39;965,41;28,73;28.798,09;0,00;51.877,14;2.245,33;0,00;0,00;317.967,49;11.637,56;498.460,53;498.460,53
2013-11-01;0,00;9.483,38;0,00;61.157,83;3.638,12;0,00;0,00;0,00;446.420,25;14.126,06;37.844,19;4.563,14;4.344,01;0,00;0,00;250,56;956,73;34,12;27.659,58;0,00;47.868,73;2.317,62;0,00;0,00;317.949,67;12.928,96;495.771,48;495.771,48
2013-12-01;0,00;10.481,82;0,00;65.766,36;3.689,88;0,00;0,00;0,00;443.274,52;8.073,96;35.564,96;4.510,53;4.293,89;0,00;0,00;244,23;1.019,09;97,91;24.773,72;0,00;48.022,77;2.295,38;0,00;0,00;317.131,68;11.523,22;490.381,97;490.381,97
2014-01-01;0,00;5.440,76;0,00;62.532,76;3.615,79;0,00;0,00;0,00;447.978,38;10.167,62;37.943,17;4.569,39;4.353,09;0,00;0,00;247,07;943,08;17,03;31.074,33;0,00;53.298,30;2.272,44;0,00;0,00;315.678,66;14.574,16;497.353,02;497.353,02
2014-02-01;0,00;3.686,94;0,00;62.294,27;3.628,12;0,00;0,00;0,00;442.151,14;9.368,51;39.189,62;4.484,55;4.272,79;0,00;0,00;242,48;927,36;12,16;33.766,01;0,00;49.056,36;2.230,26;0,00;0,00;314.482,43;15.490,54;492.641,77;492.641,77
2014-03-01;0,00;8.089,79;0,00;62.357,10;3.743,09;0,00;0,00;0,00;445.479,56;7.535,14;38.199,49;4.492,12;4.275,86;0,00;0,00;242,04;1.001,20;126,43;31.695,31;0,00;52.363,39;2.174,29;0,00;0,00;311.897,97;16.558,29;495.115,53;495.115,53
2014-04-01;0,00;8.184,72;0,00;62.727,09;3.739,08;0,00;0,00;0,00;447.444,80;8.335,82;37.939,28;4.485,87;4.263,13;0,00;0,00;237,61;919,89;64,49;33.364,00;0,00;53.005,51;2.090,43;0,00;0,00;307.677,56;18.789,18;496.634,23;496.634,23
2014-05-01;0,00;13.368,48;0,00;62.675,10;3.722,90;0,00;0,00;0,00;451.952,50;7.604,19;37.508,37;4.541,44;4.307,19;0,00;0,00;233,82;951,96;8,45;33.510,85;0,00;58.081,45;2.189,68;0,00;0,00;304.263,42;16.813,03;500.866,42;500.866,42
2014-06-01;0,00;16.648,38;0,00;62.775,04;3.764,04;0,00;0,00;0,00;457.215,86;8.251,82;39.108,58;4.521,38;4.275,76;0,00;0,00;226,14;1.097,09;131,38;34.084,45;0,00;64.135,05;2.275,41;0,00;0,00;301.977,97;15.437,42;507.962,88;507.962,88
2014-07-01;0,00;11.289,68;0,00;62.705,21;3.777,20;0,00;0,00;0,00;466.618,10;13.358,61;39.089,04;4.573,33;4.324,93;0,00;0,00;227,93;992,49;19,63;34.942,99;0,00;68.385,24;2.299,56;0,00;0,00;307.282,83;14.771,72;517.329,23;517.329,23
2014-08-01;0,00;10.315,54;0,00;62.455,93;3.747,66;29,00;0,00;0,00;471.385,24;17.826,01;39.380,83;4.570,70;4.322,86;0,00;0,00;227,80;997,40;11,01;33.093,37;0,00;68.628,44;2.235,95;0,00;0,00;312.702,89;12.722,83;522.326,74;522.326,74
2014-09-01;0,00;11.866,35;0,00;62.897,02;3.848,64;0,00;0,00;0,00;471.452,31;9.336,63;38.890,82;4.660,14;4.353,56;13,00;0,00;231,37;1.036,45;155,34;35.641,34;0,00;76.524,49;2.233,00;0,00;0,00;307.459,26;13.492,58;522.046,14;522.046,14
2014-10-01;0,00;10.416,88;0,00;62.657,53;3.813,75;0,00;0,00;0,00;475.585,67;12.953,08;37.518,94;4.687,43;4.369,82;0,00;0,00;228,46;1.029,14;61,07;33.240,66;0,00;76.096,33;2.194,35;11,00;0,00;310.472,19;14.143,96;524.740,12;524.740,12
2014-11-01;0,00;8.873,27;0,00;63.648,14;3.789,22;0,00;0,00;0,00;475.727,83;13.183,97;38.098,42;4.641,06;4.331,67;0,00;0,00;218,32;1.007,09;45,61;32.488,37;0,00;73.282,79;2.131,52;0,00;0,00;314.843,24;14.297,61;525.304,07;525.304,07
2014-12-01;0,00;9.046,42;0,00;67.595,81;3.978,35;0,00;0,00;0,00;510.062,41;14.753,14;39.629,62;4.727,21;4.413,79;0,00;0,00;213,31;867,06;154,77;33.126,76;0,00;86.304,63;2.037,33;0,00;0,00;328.006,20;17.486,92;561.201,86;561.201,86
2015-01-01;0,00;8.083,07;0,00;65.593,24;3.857,44;0,00;0,00;0,00;507.856,15;8.930,21;39.141,97;4.303,71;4.018,39;0,00;0,00;192,31;847,47;63,75;32.009,43;0,00;34.852,00;1.899,12;0,00;0,00;384.820,91;19.156,53;557.812,85;557.812,85
2015-02-01;0,00;7.096,14;0,00;66.088,43;3.877,57;0,00;0,00;0,00;519.330,24;9.699,94;38.542,14;4.392,49;4.099,20;0,00;0,00;195,60;818,20;54,11;34.757,35;0,00;44.422,16;1.747,41;0,00;0,00;377.887,76;24.211,98;568.610,37;568.610,37
2015-03-01;0,00;13.968,39;0,00;66.897,04;3.898,44;0,00;0,00;0,00;531.911,39;9.512,05;38.612,42;4.412,55;4.034,55;0,00;0,00;202,51;1.045,08;140,72;37.478,68;0,00;56.272,44;1.642,93;0,00;0,00;373.918,03;18.747,42;581.347,32;581.347,32
2015-04-01;0,00;17.389,59;0,00;67.227,31;3.892,69;0,00;0,00;0,00;536.364,09;13.286,22;37.242,96;4.355,66;4.042,17;0,00;0,00;195,98;883,76;56,21;34.786,07;0,00;48.432,74;1.590,52;0,00;0,00;382.580,38;16.097,98;584.212,17;584.212,17
2015-05-01;0,00;20.851,98;0,00;67.170,41;3.888,27;0,00;0,00;0,00;525.478,93;6.965,45;37.297,62;4.275,76;4.009,71;0,00;0,00;185,13;891,63;46,37;35.838,63;0,00;39.918,11;1.542,71;0,00;0,00;379.542,36;18.684,92;573.294,00;573.294,00
2015-06-01;0,00;16.163,48;0,00;67.436,70;3.876,23;0,00;0,00;0,00;529.520,61;13.381,00;36.422,89;4.302,73;4.427,56;0,00;0,00;176,83;1.025,34;65,34;34.911,04;0,00;34.251,94;1.575,71;0,00;0,00;385.354,83;21.158,10;577.025,16;577.025,16
2015-07-01;0,00;11.858,07;0,00;67.284,20;3.848,05;0,00;0,00;0,00;550.669,75;18.846,94;35.112,16;4.385,91;4.510,60;0,00;0,00;177,97;894,36;33,27;34.932,14;0,00;43.148,89;1.490,37;0,00;0,00;397.307,72;18.906,10;596.703,25;596.703,25
2015-08-01;0,00;11.803,09;0,00;67.666,48;3.869,47;0,00;0,00;0,00;557.883,51;16.555,26;36.422,60;4.471,07;4.598,36;0,00;0,00;179,39;907,22;35,69;36.843,25;0,00;51.984,30;1.690,08;0,00;0,00;394.312,00;21.879,49;605.550,63;605.550,63
2015-09-01;0,00;12.192,36;0,00;68.181,99;3.930,55;0,00;0,00;0,00;566.181,93;24.575,47;36.339,54;4.501,65;4.627,08;0,00;0,00;190,54;1.037,44;114,18;31.981,80;0,00;50.419,93;1.625,88;0,00;0,00;396.263,65;25.701,93;613.932,96;613.932,96
2015-10-01;0,00;9.717,97;0,00;68.790,53;3.904,00;0,00;0,00;0,00;571.928,69;21.235,54;37.671,62;4.529,60;4.655,79;0,00;0,00;187,36;886,93;77,58;33.243,95;0,00;58.062,26;1.590,54;0,00;0,00;400.706,21;24.461,30;620.824,93;620.824,93
2015-11-01;0,00;9.326,96;0,00;69.385,19;3.910,69;0,00;0,00;0,00;586.970,52;23.162,05;36.530,13;4.644,68;4.764,25;0,00;0,00;184,24;847,85;60,44;33.674,13;0,00;68.938,69;1.669,62;0,00;0,00;396.424,30;29.260,84;634.877,28;634.877,28
2015-12-01;0,00;10.930,95;0,00;72.881,89;3.972,39;0,00;0,00;0,00;593.234,09;32.521,38;35.466,68;4.547,68;4.707,35;0,00;0,00;169,92;992,98;113,91;30.165,49;0,00;61.052,54;1.608,40;0,00;0,00;402.316,52;25.621,45;640.151,80;640.151,80
2016-01-01;0,00;11.031,90;0,00;71.264,08;3.918,72;0,00;0,00;0,00;599.758,58;25.242,65;38.065,32;4.648,96;4.878,35;0,00;0,00;171,77;850,41;82,48;31.756,19;0,00;74.551,64;1.644,09;0,00;0,00;405.585,88;25.123,46;649.287,25;649.287,25
2016-02-01;0,00;7.629,06;0,00;70.969,51;3.916,46;0,00;0,00;0,00;589.812,65;17.375,15;41.233,35;4.538,48;4.762,80;0,00;0,00;165,62;864,97;81,45;31.473,64;0,00;68.998,97;1.396,53;0,00;0,00;415.017,65;26.068,48;642.152,37;642.152,37
2016-03-01;0,00;6.980,44;0,00;71.491,75;4.047,94;0,00;0,00;0,00;595.374,63;18.785,92;39.614,30;4.439,51;4.748,26;0,00;0,00;160,38;1.066,87;179,41;34.383,42;0,00;66.745,61;1.366,20;0,00;0,00;421.409,80;21.962,69;646.378,56;646.378,56
2016-04-01;0,00;12.386,29;0,00;71.720,87;4.003,78;0,00;0,00;0,00;616.130,44;25.580,83;41.289,24;4.479,95;4.761,51;0,00;0,00;157,50;885,52;1.094,66;30.687,01;0,00;73.893,71;1.350,11;0,00;0,00;419.493,09;29.241,67;668.578,10;668.578,10
2016-05-01;0,00;17.984,68;0,00;72.231,86;4.027,46;15,00;0,00;0,00;624.227,24;21.863,97;40.161,41;4.568,40;4.548,53;0,00;0,00;152,85;914,60;43,67;30.648,62;0,00;82.257,55;1.359,02;0,00;0,00;420.421,76;25.385,60;675.406,12;675.406,12
2016-06-01;0,00;16.068,02;0,00;71.810,83;4.098,72;0,00;0,00;0,00;635.269,64;20.557,25;43.064,04;4.485,21;4.463,73;23,00;0,00;140,23;1.206,53;245,81;29.955,96;0,00;81.351,19;1.351,91;0,00;0,00;431.493,18;33.604,35;689.594,80;689.594,80
2016-07-01;0,00;12.146,99;0,00;72.333,55;4.046,83;0,00;0,00;0,00;641.049,83;25.704,83;43.546,50;4.445,43;4.422,77;0,00;0,00;136,65;977,39;62,89;31.495,18;0,00;81.131,99;1.339,81;52,00;0,00;438.025,63;30.121,29;695.519,77;695.519,77
2016-08-01;0,00;12.608,47;0,00;72.155,11;4.064,43;0,00;0,00;0,00;656.555,38;28.770,44;43.071,69;4.504,28;4.460,96;0,00;0,00;136,40;964,01;45,04;32.228,80;0,00;88.507,53;1.357,54;0,00;0,00;437.208,56;34.582,19;710.610,41;710.610,41
2016-09-01;0,00;12.513,38;0,00;72.682,85;4.065,17;0,00;0,00;0,00;666.227,50;35.828,72;42.925,73;4.453,65;4.410,81;0,00;0,00;133,79;1.179,85;287,56;32.307,16;0,00;88.760,74;1.329,12;0,00;0,00;453.455,70;19.982,22;720.271,98;720.271,98
2016-10-01;0,00;8.088,94;0,00;73.112,21;4.068,23;0,00;0,00;0,00;664.465,22;31.683,80;42.146,28;4.471,73;4.417,43;0,00;0,00;130,17;871,28;67,87;29.958,17;0,00;88.783,32;1.334,41;0,00;0,00;452.723,20;28.543,79;717.433,02;717.433,02
2016-11-01;0,00;7.574,00;0,00;74.716,06;4.003,38;0,00;0,00;0,00;683.305,94;33.359,95;40.090,54;4.510,53;4.454,20;0,00;0,00;166,54;849,08;88,19;29.221,34;0,00;93.281,70;1.345,98;0,00;0,00;451.888,02;39.575,87;734.215,66;734.215,66
2016-12-01;0,00;7.229,69;0,00;78.084,37;3.997,63;0,00;0,00;0,00;696.104,16;49.096,32;39.400,35;4.492,77;4.406,19;0,00;0,00;155,41;1.097,06;251,64;30.035,55;0,00;84.527,44;1.341,16;0,00;0,00;468.199,19;24.584,98;746.501,97;746.501,97
